ms,ax,ay,az,gx,gy,gz
979827,-0.1578,0.3461,-0.9534,-43.4570,55.6030,147.4609
979834,-0.1578,0.3419,-0.9644,-50.9644,47.5464,154.7241
979843,-0.1340,0.3470,-0.9658,-59.6313,42.6025,163.8184
979851,-0.1079,0.3503,-0.9790,-68.9697,43.2129,174.5605
979860,-0.0859,0.3346,-0.9569,-73.7305,48.7061,184.8145
979867,-0.0724,0.3094,-0.9028,-73.0591,58.1055,194.8242
979876,-0.0741,0.2882,-0.8781,-66.5894,71.5332,203.3081
979884,-0.2229,0.2395,-0.8505,-49.8657,81.4209,208.1909
979892,-0.4181,0.1844,-0.8492,-32.1655,79.3457,211.0596
979901,-0.5502,0.1404,-0.8975,-12.2070,67.5659,208.0688
979910,-0.6633,0.1492,-0.9332,12.2070,48.1567,200.8057
979917,-0.6719,0.1708,-0.9154,21.6675,26.2451,197.3877
979926,-0.5909,0.1664,-0.9630,31.6162,6.1646,194.9463
979933,-0.5208,0.1439,-1.0183,44.9219,-10.1318,193.0542
979942,-0.4794,0.1506,-1.0355,56.9458,-23.1934,192.6270
979950,-0.4849,0.1649,-1.0872,59.8145,-29.4189,188.6597
979959,-0.5911,0.1578,-1.1661,54.8706,-31.7993,176.5747
979967,-0.6492,0.1221,-1.2170,52.4292,-34.4849,159.1797
979975,-0.6351,0.1162,-1.2361,49.7437,-38.0249,140.7471
979984,-0.6610,0.1476,-1.2183,44.1895,-41.0156,125.0610
979991,-0.6927,0.1741,-1.2034,38.0859,-41.5039,111.8164
980000,-0.7142,0.1698,-1.2031,36.9263,-40.4053,98.5107
980009,-0.7625,0.1973,-1.1725,39.7339,-40.3442,85.0830
980016,-0.8065,0.2355,-1.1415,39.7339,-43.0908,72.8149
980025,-0.7914,0.2649,-1.1123,37.5977,-46.4478,61.0962
980033,-0.7552,0.2906,-1.0916,35.8887,-49.8047,50.9033
980041,-0.7169,0.3097,-1.0787,35.0952,-52.9785,43.5181
980049,-0.6707,0.3164,-1.0576,36.9873,-54.3823,36.6211
980058,-0.5883,0.3397,-1.0316,35.7056,-56.0303,31.0059
980066,-0.5330,0.3376,-1.0043,34.0576,-54.7485,29.6021
980074,-0.5076,0.3329,-0.9961,32.0435,-48.8281,22.4609
980083,-0.4694,0.3387,-0.9739,33.8745,-40.5884,15.9912
980091,-0.4668,0.3491,-0.9570,37.4756,-30.8838,13.9771
980099,-0.4641,0.3538,-0.9382,38.8184,-22.0337,14.5264
980108,-0.4658,0.3512,-0.9238,37.8418,-14.4043,15.6860
980115,-0.4800,0.3505,-0.9034,37.8418,-7.5684,14.2212
980124,-0.4919,0.3464,-0.8781,38.7573,-2.9297,13.4888
980132,-0.4983,0.3479,-0.8630,39.3066,-1.4648,12.3291
980140,-0.5072,0.3503,-0.8564,37.7197,-4.0894,10.0708
980149,-0.4928,0.3502,-0.8502,36.6211,-9.0942,7.6904
980157,-0.4768,0.3469,-0.8452,34.6680,-15.5029,5.9814
980165,-0.4490,0.3364,-0.8322,32.8369,-20.6299,3.2959
980174,-0.4211,0.3392,-0.8213,32.2876,-23.2544,-0.7324
980181,-0.4148,0.3422,-0.8102,31.0669,-24.0479,-3.6621
980190,-0.4053,0.3405,-0.8003,29.9072,-23.7427,-5.4932
980198,-0.3990,0.3427,-0.7969,29.2969,-22.8882,-7.0190
980207,-0.3970,0.3434,-0.7915,29.7241,-20.6299,-7.2632
980214,-0.3986,0.3459,-0.7950,30.0293,-18.4326,-6.7749
980223,-0.3989,0.3424,-0.7946,30.0903,-16.7847,-6.5308
980231,-0.4031,0.3435,-0.7994,30.9448,-15.3809,-6.8970
980240,-0.4120,0.3466,-0.7990,32.6538,-15.3809,-7.3853
980247,-0.4009,0.3523,-0.7957,33.8745,-16.3574,-7.2632
980256,-0.3920,0.3538,-0.7885,35.2173,-16.3574,-7.3853
980264,-0.3838,0.3588,-0.7787,37.1094,-15.7471,-7.3242
980273,-0.3669,0.3627,-0.7638,37.8418,-15.1367,-6.7139
980281,-0.3562,0.3685,-0.7550,37.1704,-13.6719,-7.1411
980289,-0.3497,0.3677,-0.7434,35.1563,-10.9253,-7.9956
980297,-0.3281,0.3687,-0.7313,34.6069,-7.0190,-7.9346
980306,-0.3303,0.3768,-0.7367,33.0200,-3.7842,-7.4463
980314,-0.3469,0.3799,-0.7488,29.6021,-1.8311,-7.8735
980322,-0.3503,0.3711,-0.7384,26.3062,-0.2441,-9.4604
980330,-0.3485,0.3782,-0.7367,23.7427,0.7324,-10.6812
980339,-0.3704,0.3798,-0.7379,22.2778,1.0376,-12.0850
980346,-0.3804,0.3798,-0.7346,20.1416,-0.4883,-13.9771
980355,-0.3633,0.3864,-0.7245,18.2495,-1.7700,-15.1367
980363,-0.3531,0.3906,-0.7187,15.2588,-3.1738,-15.9912
980372,-0.3257,0.3954,-0.7158,11.8408,-3.7231,-16.9678
980379,-0.2974,0.3994,-0.7107,9.5215,-3.0518,-17.9443
980388,-0.2914,0.4015,-0.6996,7.9346,-0.8545,-18.9209
980396,-0.2885,0.4030,-0.6992,4.8218,0.9155,-18.5547
980405,-0.2717,0.4081,-0.6991,2.5635,3.1128,-18.9819
980413,-0.2726,0.4181,-0.7092,-0.4272,4.8828,-18.9209
980421,-0.2762,0.4156,-0.7170,-3.3569,6.1646,-19.0430
980429,-0.2612,0.4177,-0.7162,-5.0659,7.0801,-19.2261
980438,-0.2539,0.4214,-0.7123,-7.3853,7.8735,-19.0430
980446,-0.2380,0.4271,-0.7288,-9.0332,8.7891,-19.1650
980455,-0.2256,0.4341,-0.7424,-10.4980,9.2773,-19.7754
980462,-0.2059,0.4500,-0.7505,-12.9395,9.3384,-19.7754
980471,-0.1954,0.4546,-0.7614,-17.7002,10.2539,-18.7988
980479,-0.1917,0.4530,-0.7759,-22.0337,12.0239,-16.6626
980488,-0.1914,0.4521,-0.7780,-26.3062,14.6484,-15.0146
980495,-0.1969,0.4521,-0.7710,-31.1279,18.2495,-13.4888
980504,-0.2117,0.4520,-0.7589,-35.4614,22.8271,-11.7798
980512,-0.2347,0.4482,-0.7517,-39.2456,27.8320,-9.8267
980521,-0.2665,0.4453,-0.7493,-41.4429,32.1655,-8.1787
980528,-0.3038,0.4329,-0.7488,-43.8843,34.6680,-6.7139
980537,-0.3354,0.4253,-0.7469,-45.2271,35.8276,-6.8359
980545,-0.3551,0.4218,-0.7444,-47.3633,35.6445,-6.7139
980554,-0.3645,0.4308,-0.7500,-49.2554,35.7666,-6.8359
980561,-0.3368,0.4131,-0.7745,-41.3818,42.4805,-6.4087
980570,-0.4265,0.4391,-0.7946,-36.9263,48.2178,-9.7656
980578,-0.4125,0.4458,-0.8779,-65.0635,39.0015,-8.8501
980587,-0.3947,0.4502,-0.9689,-73.1201,34.6680,-10.6201
980594,-0.4034,0.4736,-1.0623,-72.6929,36.6821,-13.3057
980603,-0.4579,0.4821,-1.1471,-81.6040,36.8042,-12.5732
980611,-0.4800,0.4803,-1.2170,-100.4639,34.6069,-16.3574
980620,-0.4808,0.4927,-1.2758,-111.2061,33.9966,-22.7661
980627,-0.4398,0.4932,-1.2593,-113.7085,36.5601,-27.5879
980636,-0.4237,0.5240,-1.2479,-109.5581,43.7622,-30.3345
980644,-0.5153,0.5286,-1.3292,-115.3564,48.5229,-33.5693
980653,-0.5786,0.4585,-1.3802,-122.0093,49.6216,-38.5742
980661,-0.5808,0.3815,-1.3571,-116.2109,52.5513,-47.9126
980669,-0.6357,0.3357,-1.3130,-98.7549,55.6641,-59.8145
980677,-0.7709,0.3210,-1.2695,-78.6133,53.0396,-71.8384
